Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-15 10:07:00-04:00,117.49,117.56,117.42,117.5,370749,0,0
2020-09-15 10:08:00-04:00,117.49,117.55,117.39,117.52,367842,0,0
2020-09-15 10:09:00-04:00,117.52,117.74,117.49,117.66,381504,0,0
2020-09-15 10:10:00-04:00,117.66,117.84,117.53,117.59,324788,0,0
2020-09-15 10:11:00-04:00,117.59,117.69,117.56,117.64,223476,0,0
2020-09-15 10:12:00-04:00,117.64,117.72,117.48,117.51,301443,0,0
2020-09-15 10:13:00-04:00,117.52,117.59,117.32,117.37,365435,0,0
2020-09-15 10:14:00-04:00,117.36,117.44,117.15,117.21,545301,0,0
2020-09-15 10:15:00-04:00,117.22,117.32,116.92,116.96,863506,0,0
2020-09-15 10:16:00-04:00,116.97,117.18,116.95,117.11,406165,0,0
2020-09-15 10:17:00-04:00,117.12,117.14,116.95,117.02,556920,0,0
2020-09-15 10:18:00-04:00,117.01,117.05,116.95,116.97,368491,0,0
2020-09-15 10:19:00-04:00,116.97,117.02,116.82,116.92,455692,0,0
2020-09-15 10:20:00-04:00,116.94,116.97,116.88,116.93,284373,0,0
2020-09-15 10:21:00-04:00,116.92,116.92,116.55,116.57,633740,0,0
2020-09-15 10:22:00-04:00,116.57,116.58,116.3,116.43,869937,0,0
2020-09-15 10:23:00-04:00,116.43,116.58,116.32,116.35,598371,0,0
2020-09-15 10:24:00-04:00,116.35,116.35,116.07,116.16,678854,0,0
2020-09-15 10:25:00-04:00,116.15,116.49,116.13,116.43,619933,0,0
2020-09-15 10:26:00-04:00,116.42,116.62,116.27,116.59,503488,0,0
2020-09-15 10:27:00-04:00,116.59,116.6,116.48,116.52,478677,0,0
2020-09-15 10:28:00-04:00,116.52,116.53,116.37,116.46,293463,0,0
2020-09-15 10:29:00-04:00,116.46,116.81,116.46,116.73,751493,0,0
2020-09-15 10:30:00-04:00,116.74,116.81,116.66,116.76,463788,0,0
2020-09-15 10:31:00-04:00,116.75,116.77,116.63,116.75,277825,0,0
2020-09-15 10:32:00-04:00,116.74,116.76,116.5,116.55,257037,0,0
2020-09-15 10:33:00-04:00,116.55,116.57,116.22,116.39,478990,0,0
2020-09-15 10:34:00-04:00,116.41,116.52,116.3,116.51,256236,0,0
2020-09-15 10:35:00-04:00,116.52,116.73,116.51,116.71,311159,0,0
2020-09-15 10:36:00-04:00,116.71,116.72,116.45,116.5,284607,0,0
2020-09-15 10:37:00-04:00,116.5,116.62,116.49,116.54,287761,0,0
2020-09-15 10:38:00-04:00,116.56,116.56,116.33,116.37,259502,0,0
2020-09-15 10:39:00-04:00,116.37,116.41,116.24,116.31,460029,0,0
2020-09-15 10:40:00-04:00,116.3,116.32,115.94,116.02,889265,0,0
2020-09-15 10:41:00-04:00,116.02,116.14,116.01,116.07,344589,0,0
2020-09-15 10:42:00-04:00,116.06,116.2,116.02,116.18,327259,0,0
2020-09-15 10:43:00-04:00,116.17,116.18,115.74,115.86,542247,0,0
2020-09-15 10:44:00-04:00,115.85,115.87,115.64,115.71,468036,0,0
2020-09-15 10:45:00-04:00,115.71,116.06,115.71,115.97,551411,0,0
2020-09-15 10:46:00-04:00,115.98,116.23,115.92,116.21,433574,0,0
2020-09-15 10:47:00-04:00,116.22,116.23,116.02,116.21,323056,0,0
2020-09-15 10:48:00-04:00,116.22,116.24,116.07,116.17,266406,0,0
2020-09-15 10:49:00-04:00,116.08,116.27,116.07,116.27,280990,0,0
2020-09-15 10:50:00-04:00,116.25,116.36,116.17,116.34,387968,0,0
2020-09-15 10:51:00-04:00,116.34,116.36,116.29,116.31,47729,0,0
2020-09-15 10:53:00-04:00,116.3,116.44,116.27,116.43,746647,0,0
2020-09-15 10:54:00-04:00,116.44,116.58,116.41,116.54,338687,0,0
2020-09-15 10:55:00-04:00,116.53,116.57,116.48,116.51,283495,0,0
2020-09-15 10:56:00-04:00,116.51,116.52,116.34,116.34,326931,0,0
2020-09-15 10:57:00-04:00,116.36,116.38,116.27,116.34,270108,0,0
2020-09-15 10:58:00-04:00,116.35,116.42,116.29,116.36,248223,0,0
2020-09-15 10:59:00-04:00,116.36,116.55,116.33,116.48,272273,0,0
2020-09-15 11:00:00-04:00,116.49,116.51,116.37,116.4,287802,0,0
2020-09-15 11:01:00-04:00,116.38,116.43,116.26,116.37,258250,0,0
2020-09-15 11:02:00-04:00,116.38,116.58,116.35,116.57,280309,0,0
2020-09-15 11:03:00-04:00,116.58,116.96,116.56,116.86,596975,0,0
2020-09-15 11:04:00-04:00,116.86,116.98,116.79,116.98,503419,0,0
2020-09-15 11:05:00-04:00,116.98,117.08,116.88,117.06,591673,0,0
2020-09-15 11:06:00-04:00,117.06,117.12,116.97,116.99,428730,0,0
2020-09-15 11:07:00-04:00,116.98,117.14,116.98,117.08,396768,0,0
2020-09-15 11:08:00-04:00,117.1,117.33,117.1,117.25,597251,0,0
2020-09-15 11:09:00-04:00,117.25,117.45,117.23,117.45,586371,0,0
2020-09-15 11:10:00-04:00,117.45,117.49,117.37,117.43,514777,0,0
2020-09-15 11:11:00-04:00,117.42,117.43,117.22,117.24,443544,0,0
2020-09-15 11:12:00-04:00,117.25,117.49,117.24,117.38,398996,0,0
2020-09-15 11:13:00-04:00,117.4,117.53,117.33,117.37,384287,0,0
2020-09-15 11:14:00-04:00,117.37,117.47,117.33,117.36,249006,0,0
2020-09-15 11:15:00-04:00,117.36,117.46,117.22,117.24,382480,0,0
2020-09-15 11:16:00-04:00,117.25,117.27,117.06,117.13,556278,0,0
2020-09-15 11:17:00-04:00,117.11,117.15,117.09,117.15,264347,0,0
2020-09-15 11:18:00-04:00,117.13,117.15,117.05,117.13,243672,0,0
2020-09-15 11:19:00-04:00,117.14,117.3,117.12,117.26,349010,0,0
2020-09-15 11:20:00-04:00,117.26,117.29,117.19,117.25,199133,0,0
